AgentId;TimeStep;TotalAwardedPowerInMW;ElectricityPriceInEURperMWH;DispatchSystemCostInEUR
1;616154400;6290.0;32.62948275862068;17313.4656756486
1;616158000;6073.0;29.481833333333327;8766.87753525698
1;616161600;5780.666666666667;28.253499999999995;1930.6905355689187
1;616165200;5647.0;32.62948275862068;14284.280305789587
1;616168800;5609.0;29.481833333333327;5794.286229930745
1;616172400;5727.0;29.481833333333327;4572.204454200411
1;616176000;6589.0;35.859107142857134;36123.530403534074
1;616179600;7958.0;39.888200000000005;68805.12278204055
1;616183200;8532.0;39.888200000000005;68608.31981126133
1;616186800;8433.0;36.138200000000005;36485.780230534474
1;616190400;8548.0;39.17981481481481;67827.44611402701
1;616194000;8308.0;39.888200000000005;68488.04299825823
1;616197600;6555.0;29.481833333333327;8887.484370197079
1;616201200;5686.0;32.62948275862068;16184.140940026042
1;616204800;5323.0;32.37649999999999;15393.316184451593
1;616208400;5011.0;32.37649999999999;18992.875149873904
1;616212000;4953.0;32.37649999999999;14597.34495840147
1;616215600;4640.0;29.237283333333323;10035.418795794016
1;616219200;4551.0;29.237283333333323;8434.273518206275
1;616222800;4668.0;29.237283333333323;9905.52247301754
1;616226400;6973.0;38.90809259259258;67233.29681265818
1;616230000;7589.0;35.84474;36639.62708756561
1;616233600;7483.0;35.597089285714276;32757.86913098145
1;616237200;6422.0;29.237283333333323;6096.193996269727
1;616240800;6064.0;32.37649999999999;18464.651546689405
1;616244400;6007.0;27.60745;896.7088397826918
1;616248000;5662.0;24.60745;364.63101684967506
1;616251600;5688.0;29.237283333333323;11260.341581171222
1;616255200;5652.0;32.37649999999999;17916.31593242903
1;616258800;5566.0;32.37649999999999;18258.108379656325
1;616262400;6229.0;36.60745;40319.92179797392
1;616266000;7644.0;38.90809259259258;67241.4964484403
1;616269600;8346.0;39.59474;68910.77971447528
1;616273200;8264.0;39.59474;67903.1709860413
1;616276800;8161.0;39.59474;68890.70989221346
1;616280400;7885.0;39.59474;68159.22817092718
1;616284000;6043.0;32.37649999999999;13429.920373073355
1;616287600;5166.0;29.237283333333323;9744.401986235243
1;616291200;4991.0;30.27114999999999;11922.046689844481
1;616294800;4656.666666666667;1.2;140.30000283080042
1;616298400;4510.0;29.109983333333325;5654.825935746709
1;616302000;4292.0;27.27114999999999;2551.7579246190453
1;616305600;4225.0;29.109983333333325;5995.425273226384
1;616309200;4258.666666666667;27.27114999999999;2072.3842239017335
1;616312800;5729.0;36.27114999999999;39890.76763426205
1;616316400;5932.0;35.46069642857142;27939.842872410423
1;616320000;5476.0;32.24481034482758;19566.455832082785
1;616323600;5330.0;32.24481034482758;17711.132649935724
1;616327200;5314.0;29.109983333333325;6690.091087258797
1;616330800;5406.0;32.24481034482758;13640.62272083144
1;616334400;5137.0;29.109983333333325;11142.852033598248
1;616338000;4812.0;29.109983333333325;5811.258473090715
1;616341600;4911.0;32.24481034482758;21135.373993577563
1;616345200;5185.0;35.46069642857142;29771.67949799534
1;616348800;5458.0;35.46069642857142;33283.10747299711
1;616352400;6605.0;39.44198;69684.7414547901
1;616356000;7838.0;39.44198;69527.41379163983
1;616359600;7741.0;39.44198;69530.52143400184
1;616363200;7104.0;36.27114999999999;39737.314099024516
1;616366800;5999.0;35.46069642857142;26559.417265274853
1;616370400;5399.0;35.46069642857142;29995.83785309671
1;616374000;4364.111111111111;27.27114999999999;1191.4491206462376
1;616377600;4011.0;29.163583333333328;3909.0678596657053
1;616381200;3797.0;29.163583333333328;2764.5876525789936
