AgentId;TimeStep;OfferedPowerInMW;OfferedChargePrice;OfferedDischargePrice;AwardedChargePower;AwardedDischargePower;AwardedPower;StoredMWh;Revenues;Costs;Profit
7;622231199;1040.4;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622231201;;;;0.0;-1040.4;-1040.4;7208.0;48862.444689230775;0.0;48862.444689230775
7;622234799;734.4;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622234801;;;;0.0;-734.4;-734.4;6392.0;36172.81788631579;0.0;36172.81788631579
7;622238399;0.0;0.0;0.0;;;;;;;
7;622238401;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622241999;0.0;0.0;0.0;;;;;;;
7;622242001;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622245599;0.0;0.0;0.0;;;;;;;
7;622245601;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622249199;0.0;0.0;0.0;;;;;;;
7;622249201;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622252799;0.0;0.0;0.0;;;;;;;
7;622252801;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622256399;0.0;0.0;0.0;;;;;;;
7;622256401;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622259999;0.0;0.0;0.0;;;;;;;
7;622260001;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622263599;0.0;0.0;0.0;;;;;;;
7;622263601;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622267199;0.0;0.0;0.0;;;;;;;
7;622267201;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622270799;0.0;0.0;0.0;;;;;;;
7;622270801;;;;0.0;-0.0;0.0;6392.0;0.0;0.0;0.0
7;622274399;795.6;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622274401;;;;0.0;-795.6;-795.6;5508.0;39045.82031999999;0.0;39045.82031999999
7;622277999;856.8000000000001;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622278001;;;;0.0;-856.8000000000001;-856.8000000000001;4556.0;40091.28893538461;0.0;40091.28893538461
7;622281599;0.0;0.0;0.0;;;;;;;
7;622281601;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622285199;0.0;0.0;0.0;;;;;;;
7;622285201;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622288799;0.0;0.0;0.0;;;;;;;
7;622288801;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622292399;0.0;0.0;0.0;;;;;;;
7;622292401;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622295999;0.0;0.0;0.0;;;;;;;
7;622296001;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622299599;0.0;0.0;0.0;;;;;;;
7;622299601;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622303199;0.0;0.0;0.0;;;;;;;
7;622303201;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622306799;0.0;0.0;0.0;;;;;;;
7;622306801;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622310399;0.0;0.0;0.0;;;;;;;
7;622310401;;;;0.0;-0.0;0.0;4556.0;0.0;0.0;0.0
7;622313999;1407.6000000000001;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622314001;;;;0.0;-1407.6000000000001;-1407.6000000000001;2992.0;65864.26039384614;0.0;65864.26039384614
7;622317599;1101.6000000000001;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622317601;;;;0.0;-1101.6000000000001;-1101.6000000000001;1767.9999999999998;51545.94291692307;0.0;51545.94291692307
7;622321199;0.0;0.0;0.0;;;;;;;
7;622321201;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622324799;0.0;0.0;0.0;;;;;;;
7;622324801;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622328399;0.0;0.0;0.0;;;;;;;
7;622328401;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622331999;0.0;0.0;0.0;;;;;;;
7;622332001;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622335599;0.0;0.0;0.0;;;;;;;
7;622335601;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622339199;0.0;0.0;0.0;;;;;;;
7;622339201;;;;0.0;-0.0;0.0;1767.9999999999998;0.0;0.0;0.0
7;622342799;-226.66666666666666;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;622342801;;;;226.66666666666666;-0.0;226.66666666666666;1971.9999999999998;0.0;5623.792666666665;-5623.792666666665
7;622346399;-151.11111111111111;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;622346401;;;;151.11111111111111;-0.0;151.11111111111111;2108.0;0.0;3749.1951111111102;-3749.1951111111102
7;622349999;-453.3333333333333;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;622350001;;;;453.3333333333333;-0.0;453.3333333333333;2516.0;0.0;11247.58533333333;-11247.58533333333
7;622353599;-226.66666666666666;1.7976931348623157e+308;1.7976931348623157e+308;;;;;;;
7;622353601;;;;226.66666666666666;-0.0;226.66666666666666;2720.0;0.0;272.0;-272.0
7;622357199;0.0;0.0;0.0;;;;;;;
7;622357201;;;;0.0;-0.0;0.0;2720.0;0.0;0.0;0.0
7;622360799;0.0;0.0;0.0;;;;;;;
7;622360801;;;;0.0;-0.0;0.0;2720.0;0.0;0.0;0.0
7;622364399;183.6;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622364401;;;;0.0;-183.6;-183.6;2516.0;8594.018473846152;0.0;8594.018473846152
7;622367999;183.6;-1.7976931348623157e+308;-1.7976931348623157e+308;;;;;;;
7;622368001;;;;0.0;-183.6;-183.6;2312.0;8594.018473846152;0.0;8594.018473846152
7;622371599;0.0;0.0;0.0;;;;;;;
7;622371601;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622375199;0.0;0.0;0.0;;;;;;;
7;622375201;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622378799;0.0;0.0;0.0;;;;;;;
7;622378801;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622382399;0.0;0.0;0.0;;;;;;;
7;622382401;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622385999;0.0;0.0;0.0;;;;;;;
7;622386001;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622389599;0.0;0.0;0.0;;;;;;;
7;622389601;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
7;622393199;0.0;0.0;0.0;;;;;;;
7;622393201;;;;0.0;-0.0;0.0;2312.0;0.0;0.0;0.0
