AgentId;TimeStep;OfferedPowerInMW;AwardedPower
1001;600703201;;258.72
1001;600706799;258.72;
1001;600706801;;258.72
1001;600710399;258.72;
1001;600710401;;258.72
1001;600713999;258.72;
1001;600714001;;258.72
1001;600717599;258.72;
1001;600717601;;258.72
1001;600721199;258.72;
1001;600721201;;258.72
1001;600724799;258.72;
1001;600724801;;258.72
1001;600728399;258.72;
1001;600728401;;258.72
1001;600731999;258.72;
1001;600732001;;258.72
1001;600735599;258.72;
1001;600735601;;258.72
1001;600739199;258.72;
1001;600739201;;258.72
1001;600742799;258.72;
1001;600742801;;258.72
1001;600746399;258.72;
1001;600746401;;258.72
1001;600749999;258.72;
1001;600750001;;258.72
1001;600753599;258.72;
1001;600753601;;258.72
1001;600757199;258.72;
1001;600757201;;258.72
1001;600760799;258.72;
1001;600760801;;258.72
1001;600764399;258.72;
1001;600764401;;258.72
1001;600767999;258.72;
1001;600768001;;258.72
1001;600771599;258.72;
1001;600771601;;258.72
1001;600775199;258.72;
1001;600775201;;258.72
1001;600778799;258.72;
1001;600778801;;258.72
1001;600782399;258.72;
1001;600782401;;258.72
1001;600785999;258.72;
1001;600786001;;258.72
1001;600789599;258.72;
1001;600789601;;258.72
1001;600793199;258.72;
1001;600793201;;258.72
1001;600796799;258.72;
1001;600796801;;258.72
1001;600800399;258.72;
1001;600800401;;258.72
1001;600803999;258.72;
1001;600804001;;258.72
1001;600807599;258.72;
1001;600807601;;258.72
1001;600811199;258.72;
1001;600811201;;258.72
1001;600814799;258.72;
1001;600814801;;258.72
1001;600818399;258.72;
1001;600818401;;258.72
1001;600821999;258.72;
1001;600822001;;258.72
1001;600825599;258.72;
1001;600825601;;258.72
1001;600829199;258.72;
1001;600829201;;258.72
1001;600832799;258.72;
1001;600832801;;258.72
1001;600836399;258.72;
1001;600836401;;258.72
1001;600839999;258.72;
1001;600840001;;258.72
1001;600843599;258.72;
1001;600843601;;258.72
1001;600847199;258.72;
1001;600847201;;258.72
1001;600850799;258.72;
1001;600850801;;258.72
1001;600854399;258.72;
1001;600854401;;258.72
1001;600857999;258.72;
1001;600858001;;258.72
1001;600861599;258.72;
1001;600861601;;258.72
1001;600865199;258.72;
1001;600865201;;258.72
1001;600868799;258.72;
1001;600868801;;258.72
1001;600872399;258.72;
1001;600872401;;258.72
1001;600875999;258.72;
1001;600876001;;258.72
1001;600879599;258.72;
1001;600879601;;258.72
1001;600883199;258.72;
1001;600883201;;258.72
1001;600886799;258.72;
1001;600886801;;258.72
1001;600890399;258.72;
1001;600890401;;258.72
1001;600893999;258.72;
1001;600894001;;258.72
1001;600897599;258.72;
1001;600897601;;258.72
1001;600901199;258.72;
1001;600901201;;258.72
1001;600904799;258.72;
1001;600904801;;258.72
1001;600908399;258.72;
1001;600908401;;258.72
1001;600911999;258.72;
1001;600912001;;258.72
1001;600915599;258.72;
1001;600915601;;258.72
1001;600919199;258.72;
1001;600919201;;258.72
1001;600922799;258.72;
1001;600922801;;258.72
1001;600926399;258.72;
1001;600926401;;258.72
1001;600929999;258.72;
1001;600930001;;258.72
1001;600933599;258.72;
1001;600933601;;258.72
1001;600937199;258.72;
1001;600937201;;258.72
1001;600940799;258.72;
1001;600940801;;258.72
1001;600944399;258.72;
1001;600944401;;258.72
1001;600947999;258.72;
1001;600948001;;258.72
1001;600951599;258.72;
1001;600951601;;258.72
1001;600955199;258.72;
1001;600955201;;258.72
1001;600958799;258.72;
1001;600958801;;258.72
1001;600962399;258.72;
1001;600962401;;258.72
1001;600965999;258.72;
1001;600966001;;258.72
1001;600969599;258.72;
1001;600969601;;258.72
1001;600973199;258.72;
1001;600973201;;258.72
1001;600976799;258.72;
1001;600976801;;258.72
1001;600980399;258.72;
1001;600980401;;258.72
1001;600983999;258.72;
1001;600984001;;258.72
1001;600987599;258.72;
1001;600987601;;258.72
1001;600991199;258.72;
1001;600991201;;258.72
1001;600994799;258.72;
1001;600994801;;258.72
1001;600998399;258.72;
1001;600998401;;258.72
1001;601001999;258.72;
1001;601002001;;258.72
1001;601005599;258.72;
1001;601005601;;258.72
1001;601009199;258.72;
1001;601009201;;258.72
1001;601012799;258.72;
1001;601012801;;258.72
1001;601016399;258.72;
1001;601016401;;258.72
1001;601019999;258.72;
1001;601020001;;258.72
1001;601023599;258.72;
1001;601023601;;258.72
1001;601027199;258.72;
1001;601027201;;258.72
1001;601030799;258.72;
1001;601030801;;258.72
1001;601034399;258.72;
1001;601034401;;258.72
1001;601037999;258.72;
1001;601038001;;258.72
1001;601041599;258.72;
1001;601041601;;258.72
1001;601045199;258.72;
1001;601045201;;258.72
1001;601048799;258.72;
1001;601048801;;258.72
1001;601052399;258.72;
1001;601052401;;258.72
1001;601055999;258.72;
1001;601056001;;258.72
1001;601059599;258.72;
1001;601059601;;258.72
1001;601063199;258.72;
1001;601063201;;258.72
1001;601066799;258.72;
1001;601066801;;258.72
1001;601070399;258.72;
1001;601070401;;258.72
1001;601073999;258.72;
1001;601074001;;258.72
1001;601077599;258.72;
1001;601077601;;258.72
1001;601081199;258.72;
1001;601081201;;258.72
1001;601084799;258.72;
1001;601084801;;258.72
1001;601088399;258.72;
1001;601088401;;258.72
1001;601091999;258.72;
1001;601092001;;258.72
1001;601095599;258.72;
1001;601095601;;258.72
1001;601099199;258.72;
1001;601099201;;258.72
1001;601102799;258.72;
1001;601102801;;258.72
1001;601106399;258.72;
1001;601106401;;258.72
1001;601109999;258.72;
1001;601110001;;258.72
1001;601113599;258.72;
1001;601113601;;258.72
1001;601117199;258.72;
1001;601117201;;258.72
1001;601120799;258.72;
1001;601120801;;258.72
1001;601124399;258.72;
1001;601124401;;258.72
1001;601127999;258.72;
1001;601128001;;258.72
1001;601131599;258.72;
1001;601131601;;258.72
1001;601135199;258.72;
1001;601135201;;258.72
1001;601138799;258.72;
1001;601138801;;258.72
1001;601142399;258.72;
1001;601142401;;258.72
1001;601145999;258.72;
1001;601146001;;258.72
1001;601149599;258.72;
1001;601149601;;258.72
1001;601153199;258.72;
1001;601153201;;258.72
1001;601156799;258.72;
1001;601156801;;258.72
1001;601160399;258.72;
1001;601160401;;258.72
1001;601163999;258.72;
1001;601164001;;258.72
1001;601167599;258.72;
1001;601167601;;258.72
1001;601171199;258.72;
1001;601171201;;258.72
1001;601174799;258.72;
1001;601174801;;258.72
1001;601178399;258.72;
1001;601178401;;258.72
1001;601181999;258.72;
1001;601182001;;258.72
1001;601185599;258.72;
1001;601185601;;258.72
1001;601189199;258.72;
1001;601189201;;258.72
1001;601192799;258.72;
1001;601192801;;258.72
1001;601196399;258.72;
1001;601196401;;258.72
1001;601199999;258.72;
1001;601200001;;258.72
1001;601203599;258.72;
1001;601203601;;258.72
1001;601207199;258.72;
1001;601207201;;258.72
1001;601210799;258.72;
1001;601210801;;258.72
1001;601214399;258.72;
1001;601214401;;258.72
1001;601217999;258.72;
1001;601218001;;258.72
1001;601221599;258.72;
1001;601221601;;258.72
1001;601225199;258.72;
1001;601225201;;258.72
1001;601228799;258.72;
1001;601228801;;258.72
1001;601232399;258.72;
1001;601232401;;258.72
1001;601235999;258.72;
1001;601236001;;258.72
1001;601239599;258.72;
1001;601239601;;258.72
1001;601243199;258.72;
1001;601243201;;258.72
1001;601246799;258.72;
1001;601246801;;258.72
1001;601250399;258.72;
1001;601250401;;258.72
1001;601253999;258.72;
1001;601254001;;258.72
1001;601257599;258.72;
1001;601257601;;258.72
1001;601261199;258.72;
1001;601261201;;258.72
1001;601264799;258.72;
1001;601264801;;258.72
1001;601268399;258.72;
