AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
100;600256801;;5683.0
100;600260399;5797.0;
100;600260401;;5797.0
100;600263999;5910.0;
100;600264001;;5910.0
100;600267599;6099.0;
100;600267601;;6099.0
100;600271199;6438.0;
100;600271201;;6438.0
100;600274799;6218.0;
100;600274801;;6218.0
100;600278399;6340.0;
100;600278401;;6340.0
100;600281999;6053.0;
100;600282001;;6053.0
100;600285599;6022.0;
100;600285601;;6022.0
100;600289199;5803.0;
100;600289201;;5803.0
100;600292799;5877.0;
100;600292801;;5877.0
100;600296399;5429.0;
100;600296401;;5429.0
100;600299999;5349.0;
100;600300001;;5349.0
100;600303599;5271.0;
100;600303601;;5271.0
100;600307199;5307.0;
100;600307201;;5307.0
100;600310799;5343.0;
100;600310801;;5343.0
100;600314399;5320.0;
100;600314401;;5320.0
100;600317999;5162.0;
100;600318001;;5162.0
100;600321599;5510.0;
100;600321601;;5510.0
100;600325199;5995.0;
100;600325201;;5995.0
100;600328799;7274.0;
100;600328801;;7274.0
100;600332399;9592.0;
100;600332401;;9592.0
100;600335999;10232.0;
100;600336001;;10232.0
100;600339599;9565.0;
100;600339601;;9565.0
100;600343199;9536.0;
100;600343201;;9536.0
100;600346799;9555.0;
100;600346801;;9555.0
100;600350399;9160.0;
100;600350401;;9160.0
100;600353999;8805.0;
100;600354001;;8805.0
100;600357599;9076.0;
100;600357601;;9076.0
100;600361199;9153.0;
100;600361201;;9153.0
100;600364799;9143.0;
100;600364801;;9143.0
100;600368399;9225.0;
100;600368401;;9225.0
100;600371999;9128.0;
100;600372001;;9128.0
100;600375599;8801.0;
100;600375601;;8801.0
100;600379199;8386.0;
100;600379201;;8386.0
100;600382799;8311.0;
100;600382801;;8311.0
100;600386399;8188.0;
100;600386401;;8188.0
100;600389999;6960.0;
100;600390001;;6960.0
100;600393599;7054.0;
100;600393601;;7054.0
100;600397199;6579.0;
100;600397201;;6579.0
100;600400799;6700.0;
100;600400801;;6700.0
100;600404399;6708.0;
100;600404401;;6708.0
100;600407999;6957.0;
100;600408001;;6957.0
100;600411599;7530.0;
100;600411601;;7530.0
100;600415199;8503.0;
100;600415201;;8503.0
100;600418799;10604.0;
100;600418801;;10604.0
100;600422399;10504.0;
100;600422401;;10504.0
100;600425999;10960.0;
100;600426001;;10960.0
100;600429599;10358.0;
100;600429601;;10358.0
100;600433199;9761.0;
100;600433201;;9761.0
100;600436799;9216.0;
100;600436801;;9216.0
100;600440399;9213.0;
100;600440401;;9213.0
100;600443999;9032.0;
100;600444001;;9032.0
100;600447599;9279.0;
100;600447601;;9279.0
100;600451199;9134.0;
100;600451201;;9134.0
100;600454799;9401.0;
100;600454801;;9401.0
100;600458399;9081.0;
100;600458401;;9081.0
100;600461999;8751.0;
100;600462001;;8751.0
100;600465599;8248.0;
100;600465601;;8248.0
100;600469199;8150.0;
100;600469201;;8150.0
100;600472799;8845.0;
100;600472801;;8845.0
100;600476399;7028.0;
100;600476401;;7028.0
100;600479999;6703.0;
100;600480001;;6703.0
100;600483599;6439.0;
100;600483601;;6439.0
100;600487199;6306.0;
100;600487201;;6306.0
100;600490799;6123.0;
100;600490801;;6123.0
100;600494399;6265.0;
100;600494401;;6265.0
100;600497999;7257.0;
100;600498001;;7257.0
100;600501599;8779.0;
100;600501601;;8779.0
100;600505199;9786.0;
100;600505201;;9786.0
100;600508799;10609.0;
100;600508801;;10609.0
100;600512399;9773.0;
100;600512401;;9773.0
100;600515999;9534.0;
100;600516001;;9534.0
100;600519599;9604.0;
100;600519601;;9604.0
100;600523199;8182.0;
100;600523201;;8182.0
100;600526799;7953.0;
100;600526801;;7953.0
100;600530399;7712.0;
100;600530401;;7712.0
100;600533999;7369.0;
100;600534001;;7369.0
100;600537599;8921.0;
100;600537601;;8921.0
100;600541199;7931.0;
100;600541201;;7931.0
100;600544799;7720.0;
100;600544801;;7720.0
100;600548399;7388.0;
100;600548401;;7388.0
100;600551999;6843.0;
100;600552001;;6843.0
100;600555599;6645.0;
100;600555601;;6645.0
100;600559199;6791.0;
100;600559201;;6791.0
100;600562799;5406.0;
100;600562801;;5406.0
100;600566399;4272.0;
100;600566401;;4272.0
100;600569999;3988.0;
100;600570001;;3988.0
100;600573599;4123.0;
100;600573601;;4123.0
100;600577199;4238.0;
100;600577201;;4238.0
100;600580799;4458.0;
100;600580801;;4458.0
100;600584399;4856.0;
100;600584401;;4856.0
100;600587999;6575.0;
100;600588001;;6575.0
100;600591599;7206.0;
