AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedSupportInEUR;RefundedSupportInEUR;ReceivedMarketRevenues
13;599345999;2751.99999855;;;;;
13;599346001;;2751.99999855;0.0;;;
13;599349599;2633.99999979;;;;;
13;599349601;;2633.99999979;0.0;;;
13;599353199;2623.00000042;;;;;
13;599353201;;2623.00000042;0.0;;;
13;599356799;2579.99999902;;;;;
13;599356801;;2579.99999902;0.0;;;
13;599360399;2675.99999904;;;;;
13;599360401;;2675.99999904;0.0;;;
13;599363999;2729.9999998099997;;;;;
13;599364001;;2729.9999998099997;0.0;;;
13;599367599;2804.00000109;;;;;
13;599367601;;2804.00000109;0.0;;;
13;599371199;2770.999999945;;;;;
13;599371201;;2770.999999945;0.0;;;
13;599374799;2760.9999996899996;;;;;
13;599374801;;2760.9999996899996;0.0;;;
13;599378399;2804.00000109;;;;;
13;599378401;;2804.00000109;0.0;;;
13;599381999;2816.000000634;;;;;
13;599382001;;2816.000000634;0.0;;;
13;599385599;2851.0000011969996;;;;;
13;599385601;;2851.0000011969996;0.0;;;
13;599389199;2945.000001012;;;;;
13;599389201;;2945.000001012;0.0;;;
13;599392799;3023.9999995880003;;;;;
13;599392801;;3023.9999995880003;0.0;;;
13;599396399;2948.00000008;;;;;
13;599396401;;2948.00000008;0.0;;;
13;599399999;2551.000001348;;;;;
13;599400001;;2551.000001348;0.0;;;
13;599403599;2051.9999995890003;;;;;
13;599403601;;2051.9999995890003;2.2737367544323206e-13;;;
13;599407199;2367.99999848;;;;;
13;599407201;;2367.99999848;0.0;;;
13;599410799;2462.999999909;;;;;
13;599410801;;2462.999999909;0.0;;;
13;599414399;2099.0000017879997;;;;;
13;599414401;;2099.0000017879997;0.0;;;
13;599417999;2240.9999992310004;;;;;
13;599418001;;2240.9999992310004;0.0;;;
13;599421599;2391.0000000210002;;;;;
13;599421601;;2391.0000000210002;0.0;;;
13;599425199;2424.99999962;;;;;
13;599425201;;2424.99999962;0.0;;;
13;599428799;2514.99999888;;;;;
13;599428801;;2514.99999888;0.0;;;
13;599432399;2559.99999851;;;;;
13;599432401;;2559.99999851;0.0;;;
13;599435999;2420.00000101;;;;;
13;599436001;;2420.00000101;0.0;;;
13;599439599;2335.0000003600003;;;;;
13;599439601;;2335.0000003600003;0.0;;;
13;599443199;2280.9999995900002;;;;;
13;599443201;;2280.9999995900002;0.0;;;
13;599446799;2276.0000009799996;;;;;
13;599446801;;2276.0000009799996;0.0;;;
13;599450399;2239.00000034;;;;;
13;599450401;;2239.00000034;0.0;;;
13;599453999;2286.000001235;;;;;
13;599454001;;2286.000001235;0.0;;;
13;599457599;2276.0000009799996;;;;;
13;599457601;;2276.0000009799996;0.0;;;
13;599461199;2344.0000015;;;;;
13;599461201;;2344.0000015;0.0;;;
13;599464799;2403.999999995;;;;;
13;599464801;;2403.999999995;0.0;;;
13;599468399;2350.999999662;;;;;
13;599468401;;2350.999999662;0.0;;;
13;599471999;2467.000000719;;;;;
13;599472001;;2467.000000719;0.0;;;
13;599475599;2294.999999348;;;;;
13;599475601;;2294.999999348;0.0;;;
13;599479199;2098.00000136;;;;;
13;599479201;;2098.00000136;0.0;;;
13;599482799;1929.9999986889998;;;;;
13;599482801;;1929.9999986889998;0.0;;;
13;599486399;1757.000001629;;;;;
13;599486401;;1757.000001629;0.0;;;
13;599489999;1522.00000058;;;;;
13;599490001;;1522.00000058;0.0;;;
13;599493599;1287.000001115;;;;;
13;599493601;;1287.000001115;0.0;;;
13;599497199;943.9999989229999;;;;;
13;599497201;;943.9999989229999;0.0;;;
13;599500799;626.999998797;;;;;
13;599500801;;626.999998797;0.0;;;
13;599504399;740.000001321;;;;;
13;599504401;;740.000001321;0.0;;;
13;599507999;977.0000009910001;;;;;
13;599508001;;977.0000009910001;0.0;;;
13;599511599;1237.00000089;;;;;
13;599511601;;1237.00000089;0.0;;;
13;599515199;1330.9999996450001;;;;;
13;599515201;;1330.9999996450001;0.0;;;
13;599518799;1581.999999065;;;;;
13;599518801;;1581.999999065;0.0;;;
13;599522399;1845.99999912;;;;;
13;599522401;;1845.99999912;0.0;;;
13;599525999;2030.9999992849998;;;;;
13;599526001;;2030.9999992849998;0.0;;;
13;599529599;2208.999999575;;;;;
13;599529601;;2208.999999575;0.0;;;
13;599533199;2274.99999883;;;;;
13;599533201;;2274.99999883;0.0;;;
13;599536799;2301.9999992149997;;;;;
13;599536801;;2301.9999992149997;0.0;;;
13;599540399;2294.9999993399997;;;;;
