;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
18;5710.738976;4885.842457;5196.989569;6266.653695;2979.5977;5721.97171;8150.14879;4298.851351;3349.578231;4218.683491;7770.287784;4757.147724;3826.751129;9502.458692;5927.744273;5631.45051;6967.228079;18074.8441;4101.6578;4015.96679;4466.656253;5416.403183;6673.98867;3274.38929;7334.963699;3483.747348;6076.910075;4138.852039;7032.572652;7396.497097;10007.16594;6520.556102;2007.134163;4477.287309;3569.249607;5684.585022;4246.51796;6474.442548;4303.831416;3965.854021
19;5484.257669;4633.632212;5032.497459;5902.822366;2751.76804;5592.936267;7963.000235;3866.038211;2966.892153;3976.733611;7553.800755;4551.623577;3647.86052;9520.438995;5913.378571;5231.728368;6848.682104;18078.88457;3912.415143;3963.475527;4352.858531;5000.406957;6540.192743;2951.738637;7176.738199;2879.494911;5973.062025;4100.187875;7057.481397;7178.015079;9696.055305;6407.07096;1762.452045;4228.284036;3221.545221;5475.790898;4084.933002;6180.857928;4099.738793;3842.514839
20;5190.959962;4356.990296;4698.411224;5362.71395;2493.561605;5373.142014;7558.361702;3447.376168;2542.826195;3688.383159;7140.773085;4171.945411;3427.289056;9259.933552;5627.883886;4663.854146;6554.139001;17496.543;3652.042494;3893.53203;4151.697799;4530.373543;6271.152481;2665.99236;6802.657359;2281.555791;5657.504179;3928.836919;6868.660683;6830.973521;8991.320264;6150.964307;1530.973033;3905.71819;2833.134469;5119.789624;3841.087794;5750.256404;3728.300626;3659.634547
21;4709.490254;3852.28174;4113.076889;4559.764474;2090.343796;4964.874587;6754.825034;2932.277338;2001.362956;3185.080356;6356.113007;3497.038678;2979.266812;8491.009536;4915.066606;3967.34111;5924.584599;16034.57144;3149.333583;3558.499155;3647.982145;3964.7646;5666.307404;2227.28234;6029.110134;1735.888749;4968.794608;3464.90099;6187.290296;6062.189575;7763.469168;5543.093875;1259.013604;3375.279585;2308.856033;4478.857187;3389.147066;4986.950397;3189.706083;3318.899819
22;3888.435856;3094.219291;3216.393573;3497.641309;1629.939188;4148.655964;5452.624763;2320.211903;1368.320823;2500.807284;5100.55575;2633.966429;2338.810324;7021.932435;3896.742784;3256.602348;4858.230155;13149.33152;2477.293057;2913.816832;2844.427975;3191.971939;4585.917416;1737.393416;4823.920271;1438.097691;3882.509002;2745.620022;5007.082634;4831.681831;6122.285643;4513.231266;1047.402649;2638.790689;1728.630559;3513.63012;2698.295991;3886.854819;2516.221986;2672.025798
23;3388.630647;2651.060123;2704.480381;2814.548711;1398.403156;3645.703271;4612.922995;1956.634975;1010.700297;2101.489212;4305.93262;2148.291504;1949.843112;6131.977362;3279.674508;2869.995955;4230.129768;11259.08978;2104.451904;2513.889055;2333.827605;2772.577246;3934.972887;1450.051405;4096.290812;1503.230426;3235.22128;2278.555197;4305.120991;4044.467291;5247.069295;3876.29597;996.0001355;2178.555656;1415.16665;2881.281636;2301.488008;3214.801394;2126.323062;2256.004787
24;3298.732512;2571.396109;2604.176081;2541.16819;1364.400638;3591.358053;4422.274309;1881.048382;868.860612;2025.601786;4136.872287;2032.457063;1841.337039;6112.866368;3159.685567;2825.502452;4254.805238;10930.52975;2055.467092;2470.855176;2174.361632;2703.809091;3826.566792;1365.544203;3960.625405;1683.79185;3095.092066;2127.583572;4202.310799;3822.091128;5169.874107;3783.452585;1072.902155;2025.601786;1336.359556;2660.484293;2255.177098;3036.114094;2042.229511;2150.78117
25;3420.53635;2620.083132;2657.318635;2535.715402;1447.917085;3674.839405;4452.210512;1927.359718;838.1615692;2087.052403;4225.969804;2011.632405;1845.55321;6438.699499;3222.597291;2902.40139;4479.582334;11184.12452;2124.105151;2605.925501;2144.383261;2744.328668;3930.104243;1402.989064;4048.434016;1884.981695;3125.44158;2089.767433;4346.864566;3805.159743;5302.330832;3886.879358;1215.523905;2005.755272;1363.621744;2587.90823;2334.68688;3021.213099;2061.873882;2157.30576
26;3540.44922;2653.376428;2719.256727;2683.136068;1594.564025;3767.510685;4498.750407;1974.925413;859.0297483;2188.956964;4319.69886;1990.220632;1886.762516;6786.342134;3304.567656;2986.702338;4727.685027;11492.59182;2171.65132;2709.352991;2139.708208;2762.492599;4045.907471;1457.243404;4186.445913;2092.307113;3132.605727;2121.19071;4505.97408;3844.495552;5400.261341;3988.755824;1364.69958;2035.305123;1402.880965;2516.291636;2431.750963;3040.381476;2091.484302;2213.902776
27;3822.692234;2832.530766;2945.763206;3061.985648;1893.243137;4129.252269;4782.258946;2165.685839;968.3753885;2451.916879;4682.578062;2081.476911;2092.495791;7511.401869;3609.821704;3242.621411;5319.754897;12405.10295;2283.690113;2954.033537;2293.079234;2947.746982;4478.809807;1617.541849;4674.635285;2413.344878;3364.370844;2328.139478;4906.796405;4145.438154;5724.945468;4318.839949;1587.690331;2260.288862;1532.060962;2557.568161;2677.88333;3255.868335;2255.037615;2459.179676
