AgentId;TimeStep;RequestedEnergyInMWH;AwardedEnergyInMWH
5;946868399;9895.9369;
5;946868404;;0.0
5;946871999;10062.3872;
5;946872004;;0.0
5;946875599;10527.6514;
5;946875604;;0.0
5;946879199;11207.2682;
5;946879204;;0.0
5;946882799;12173.5036;
5;946882804;;0.0
5;946886399;12970.9646;
5;946886404;;0.0
5;946889999;13635.4373;
5;946890004;;0.0
5;946893599;14174.6344;
5;946893604;;0.0
5;946897199;14290.3186;
5;946897204;;0.0
5;946900799;14071.7324;
5;946900804;;0.0
5;946904399;13933.4616;
5;946904404;;0.0
5;946907999;13801.4104;
5;946908004;;0.0
5;946911599;13771.2365;
5;946911604;;0.0
5;946915199;14119.7884;
5;946915204;;0.0
5;946918799;14904.5181;
5;946918804;;0.0
5;946922399;14863.4333;
5;946922404;;0.0
5;946925999;14716.8861;
5;946926004;;0.0
5;946929599;14142.2324;
5;946929604;;0.0
5;946933199;13391.7212;
5;946933204;;0.0
5;946936799;12677.2003;
5;946936804;;0.0
5;946940399;11766.6376;
5;946940404;;0.0
5;946943999;10696.1035;
5;946944004;;0.0
5;946947599;10200.8963;
5;946947604;;0.0
5;946951199;9968.3917;
5;946951204;;0.0
5;946954799;10012.586;
5;946954804;;0.0
5;946958399;10147.1657;
5;946958404;;0.0
5;946961999;10531.3973;
5;946962004;;0.0
5;946965599;10919.1415;
5;946965604;;0.0
5;946969199;11442.3544;
5;946969204;;0.0
5;946972799;11741.5471;
5;946972804;;0.0
5;946976399;12303.9126;
5;946976404;;0.0
5;946979999;12820.1826;
5;946980004;;0.0
5;946983599;13081.4517;
5;946983604;;0.0
5;946987199;13163.4112;
5;946987204;;0.0
5;946990799;13177.1298;
5;946990804;;0.0
5;946994399;13131.0105;
5;946994404;;0.0
5;946997999;13002.8498;
5;946998004;;0.0
5;947001599;13305.9282;
5;947001604;;0.0
5;947005199;14307.5879;
5;947005204;;0.0
5;947008799;14538.3075;
5;947008804;;0.0
5;947012399;14306.9159;
5;947012404;;0.0
5;947015999;13833.7902;
5;947016004;;0.0
5;947019599;13279.0769;
5;947019604;;0.0
5;947023199;12284.0692;
5;947023204;;0.0
5;947026799;11072.9477;
5;947026804;;0.0
5;947030399;10228.0465;
5;947030404;;0.0
5;947033999;9937.4561;
5;947034004;;0.0
5;947037599;9805.2811;
5;947037604;;0.0
5;947041199;9893.8042;
5;947041204;;0.0
5;947044799;10119.9363;
5;947044804;;0.0
5;947048399;10688.4776;
5;947048404;;0.0
5;947051999;12031.1733;
5;947052004;;0.0
5;947055599;14878.7845;
5;947055604;;0.0
5;947059199;17564.1652;
5;947059204;;0.0
5;947062799;18213.4586;
5;947062804;;0.0
5;947066399;18277.2474;
5;947066404;;0.0
5;947069999;18244.0027;
5;947070004;;0.0
5;947073599;17599.533;
5;947073604;;0.0
5;947077199;17638.3172;
5;947077204;;0.0
5;947080799;17623.6409;
5;947080804;;0.0
5;947084399;17400.348;
5;947084404;;0.0
5;947087999;16866.2117;
5;947088004;;0.0
5;947091599;16569.2826;
5;947091604;;0.0
5;947095199;16464.7381;
5;947095204;;0.0
5;947098799;16286.1272;
5;947098804;;0.0
5;947102399;15322.5541;
5;947102404;;0.0
5;947105999;14071.078;
5;947106004;;0.0
5;947109599;12694.7602;
5;947109604;;0.0
5;947113199;11395.4114;
5;947113204;;0.0
5;947116799;10318.1241;
5;947116804;;0.0
5;947120399;9977.5436;
5;947120404;;0.0
5;947123999;9923.4615;
5;947124004;;0.0
5;947127599;9980.702;
5;947127604;;0.0
5;947131199;10173.7505;
5;947131204;;0.0
5;947134799;10774.9865;
5;947134804;;0.0
5;947138399;12186.8011;
5;947138404;;0.0
5;947141999;15057.6939;
5;947142004;;0.0
5;947145599;17556.1123;
5;947145604;;0.0
5;947149199;17964.9014;
5;947149204;;0.0
5;947152799;17931.697;
5;947152804;;0.0
5;947156399;17934.587;
5;947156404;;0.0
5;947159999;17419.1936;
5;947160004;;0.0
5;947163599;17627.8484;
5;947163604;;0.0
5;947167199;17646.5594;
5;947167204;;0.0
5;947170799;17346.6327;
5;947170804;;0.0
5;947174399;16743.1362;
5;947174404;;0.0
5;947177999;16387.3276;
5;947178004;;0.0
5;947181599;16236.2371;
5;947181604;;0.0
5;947185199;16046.0197;
5;947185204;;0.0
5;947188799;15304.2084;
5;947188804;;0.0
5;947192399;14138.8671;
5;947192404;;0.0
5;947195999;12663.4124;
5;947196004;;0.0
5;947199599;11408.4055;
5;947199604;;0.0
5;947203199;10343.8557;
5;947203204;;0.0
5;947206799;9994.4119;
5;947206804;;0.0
5;947210399;9931.7333;
5;947210404;;0.0
5;947213999;9998.7389;
5;947214004;;0.0
5;947217599;10110.7695;
5;947217604;;0.0
5;947221199;10618.6837;
5;947221204;;0.0
5;947224799;11931.1571;
5;947224804;;0.0
5;947228399;14841.7831;
5;947228404;;0.0
5;947231999;17536.1144;
5;947232004;;0.0
5;947235599;17967.9201;
5;947235604;;0.0
5;947239199;18056.0887;
5;947239204;;0.0
5;947242799;18076.2172;
5;947242804;;0.0
5;947246399;17586.0015;
5;947246404;;0.0
5;947249999;17863.8057;
5;947250004;;0.0
5;947253599;17988.8679;
5;947253604;;0.0
5;947257199;17636.7963;
5;947257204;;0.0
5;947260799;17064.5784;
5;947260804;;0.0
5;947264399;16717.5928;
5;947264404;;0.0
5;947267999;16549.8147;
5;947268004;;0.0
5;947271599;16202.1597;
5;947271604;;0.0
5;947275199;15323.1211;
5;947275204;;0.0
5;947278799;14231.4158;
5;947278804;;0.0
5;947282399;13057.3009;
5;947282404;;0.0
5;947285999;11652.4569;
5;947286004;;0.0
5;947289599;10612.858;
5;947289604;;0.0
5;947293199;10189.0655;
5;947293204;;0.0
5;947296799;10086.6903;
5;947296804;;0.0
5;947300399;10143.7651;
5;947300404;;0.0
5;947303999;10310.6714;
5;947304004;;0.0
5;947307599;10828.1438;
5;947307604;;0.0
5;947311199;12263.2088;
5;947311204;;0.0
5;947314799;15195.1454;
5;947314804;;0.0
5;947318399;17790.9484;
5;947318404;;0.0
5;947321999;18353.4656;
5;947322004;;0.0
5;947325599;18354.6153;
5;947325604;;0.0
5;947329199;18285.2222;
5;947329204;;0.0
5;947332799;17768.01;
5;947332804;;0.0
5;947336399;17891.5635;
5;947336404;;0.0
5;947339999;17947.8328;
5;947340004;;0.0
5;947343599;17700.2656;
5;947343604;;0.0
5;947347199;17112.0801;
5;947347204;;0.0
5;947350799;16742.4445;
5;947350804;;0.0
5;947354399;16573.4602;
5;947354404;;0.0
5;947357999;16236.0179;
5;947358004;;0.0
5;947361599;15372.3303;
5;947361604;;0.0
5;947365199;14159.0608;
5;947365204;;0.0
5;947368799;12775.0935;
5;947368804;;0.0
5;947372399;11580.6568;
5;947372404;;0.0
5;947375999;10615.6799;
5;947376004;;0.0
5;947379599;10227.8968;
5;947379604;;0.0
5;947383199;10088.5979;
5;947383204;;0.0
5;947386799;10154.0611;
5;947386804;;0.0
5;947390399;10303.3787;
5;947390404;;0.0
5;947393999;10882.2514;
5;947394004;;0.0
5;947397599;12297.0393;
5;947397604;;0.0
5;947401199;15119.2222;
5;947401204;;0.0
5;947404799;17670.506;
5;947404804;;0.0
5;947408399;18156.224;
5;947408404;;0.0
5;947411999;18093.6704;
5;947412004;;0.0
5;947415599;18127.3633;
5;947415604;;0.0
5;947419199;17599.8609;
5;947419204;;0.0
5;947422799;17536.6642;
5;947422804;;0.0
5;947426399;17429.3535;
5;947426404;;0.0
5;947429999;16918.4841;
5;947430004;;0.0
5;947433599;16456.319;
5;947433604;;0.0
5;947437199;16425.8586;
5;947437204;;0.0
5;947440799;16182.3988;
5;947440804;;0.0
5;947444399;15773.7404;
5;947444404;;0.0
5;947447999;15034.427;
5;947448004;;0.0
5;947451599;13913.5375;
5;947451604;;0.0
5;947455199;12929.3167;
5;947455204;;0.0
5;947458799;11872.9206;
5;947458804;;0.0
5;947462399;10664.7038;
5;947462404;;0.0
5;947465999;10135.6575;
5;947466004;;0.0
5;947469599;9928.3323;
5;947469604;;0.0
5;947473199;9985.5805;
5;947473204;;0.0
5;947476799;10095.2141;
5;947476804;;0.0
5;947480399;10551.0043;
5;947480404;;0.0
5;947483999;11238.5276;
5;947484004;;0.0
5;947487599;12259.965;
5;947487604;;0.0
5;947491199;13133.3277;
5;947491204;;0.0
5;947494799;13774.3869;
5;947494804;;0.0
5;947498399;14323.8545;
5;947498404;;0.0
5;947501999;14505.344;
5;947502004;;0.0
5;947505599;14256.7326;
5;947505604;;0.0
5;947509199;14118.6793;
5;947509204;;0.0
5;947512799;13963.168;
5;947512804;;0.0
5;947516399;13834.6995;
5;947516404;;0.0
5;947519999;14057.5583;
5;947520004;;0.0
5;947523599;14822.8345;
5;947523604;;0.0
5;947527199;14825.4762;
5;947527204;;0.0
5;947530799;14625.3731;
5;947530804;;0.0
5;947534399;14032.4425;
5;947534404;;0.0
5;947537999;13273.8001;
5;947538004;;0.0
5;947541599;12587.4936;
5;947541604;;0.0
5;947545199;11674.6536;
5;947545204;;0.0
5;947548799;10663.1811;
5;947548804;;0.0
5;947552399;10160.5581;
5;947552404;;0.0
5;947555999;9898.3817;
5;947556004;;0.0
5;947559599;9908.5569;
5;947559604;;0.0
5;947563199;10006.5695;
5;947563204;;0.0
5;947566799;10404.2199;
5;947566804;;0.0
5;947570399;10831.623;
5;947570404;;0.0
5;947573999;11365.0899;
5;947574004;;0.0
5;947577599;11608.6281;
5;947577604;;0.0
5;947581199;12131.8927;
5;947581204;;0.0
5;947584799;12723.9993;
5;947584804;;0.0
5;947588399;13085.3666;
5;947588404;;0.0
5;947591999;13198.7453;
5;947592004;;0.0
5;947595599;13183.5033;
5;947595604;;0.0
5;947599199;13137.7782;
5;947599204;;0.0
5;947602799;12944.3228;
5;947602804;;0.0
5;947606399;13156.7304;
5;947606404;;0.0
5;947609999;14196.2496;
5;947610004;;0.0
5;947613599;14462.6701;
5;947613604;;0.0
5;947617199;14196.8014;
5;947617204;;0.0
5;947620799;13602.3163;
5;947620804;;0.0
5;947624399;12927.4445;
5;947624404;;0.0
5;947627999;12079.6081;
5;947628004;;0.0
5;947631599;10867.8805;
5;947631604;;0.0
5;947635199;9973.955;
5;947635204;;0.0
5;947638799;9692.5429;
5;947638804;;0.0
5;947642399;9571.6924;
5;947642404;;0.0
