AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
99990100004;968907605;;0.62;1.178;
99990100004;968911177;0.62;;;
99990100004;968911205;;0.62;1.178;
99990100004;968914777;0.62;;;
99990100004;968914805;;0.62;1.178;
99990100004;968918377;0.62;;;
99990100004;968918405;;0.62;1.178;
99990100004;968921977;0.62;;;
99990100004;968922005;;0.62;1.178;
99990100004;968925577;0.62;;;
99990100004;968925605;;0.62;1.178;
99990100004;968929177;0.62;;;
99990100004;968929205;;0.62;1.178;
99990100004;968932777;0.62;;;
99990100004;968932805;;0.62;1.178;
99990100004;968936377;0.62;;;
99990100004;968936405;;0.62;1.178;
99990100004;968939977;0.62;;;
99990100004;968940005;;0.62;1.178;
99990100004;968943577;0.62;;;
99990100004;968943605;;0.62;1.178;
99990100004;968947177;0.62;;;
99990100004;968947205;;0.62;1.178;
99990100004;968950777;0.62;;;
99990100004;968950805;;0.62;1.178;
99990100004;968954377;0.62;;;
99990100004;968954405;;0.62;1.178;
99990100004;968957977;0.62;;;
99990100004;968958005;;0.62;1.178;
99990100004;968961577;0.62;;;
99990100004;968961605;;0.62;1.178;
99990100004;968965177;0.62;;;
99990100004;968965205;;0.62;1.178;
99990100004;968968777;0.62;;;
99990100004;968968805;;0.62;1.178;
99990100004;968972377;0.62;;;
99990100004;968972405;;0.62;1.178;
99990100004;968975977;0.62;;;
99990100004;968976005;;0.62;1.178;
99990100004;968979577;0.62;;;
99990100004;968979605;;0.62;1.178;
99990100004;968983177;0.62;;;
99990100004;968983205;;0.62;1.178;
99990100004;968986777;0.62;;;
99990100004;968986805;;0.62;1.178;
99990100004;968990377;0.62;;;
99990100004;968990405;;0.62;1.178;
99990100004;968993977;0.62;;;
99990100004;968994005;;0.62;1.178;
99990100004;968997577;0.62;;;
99990100004;968997605;;0.62;1.178;
99990100004;969001177;0.62;;;
99990100004;969001205;;0.62;1.178;
99990100004;969004777;0.62;;;
99990100004;969004805;;0.62;1.178;
99990100004;969008377;0.62;;;
99990100004;969008405;;0.62;1.178;
99990100004;969011977;0.62;;;
99990100004;969012005;;0.62;1.178;
99990100004;969015577;0.62;;;
99990100004;969015605;;0.62;1.178;
99990100004;969019177;0.62;;;
99990100004;969019205;;0.62;1.178;
99990100004;969022777;0.62;;;
99990100004;969022805;;0.62;1.178;
99990100004;969026377;0.62;;;
99990100004;969026405;;0.62;1.178;
99990100004;969029977;0.62;;;
99990100004;969030005;;0.62;1.178;
99990100004;969033577;0.62;;;
99990100004;969033605;;0.62;1.178;
99990100004;969037177;0.62;;;
99990100004;969037205;;0.62;1.178;
99990100004;969040777;0.62;;;
99990100004;969040805;;0.62;1.178;
99990100004;969044377;0.62;;;
99990100004;969044405;;0.62;1.178;
99990100004;969047977;0.62;;;
99990100004;969048005;;0.62;1.178;
99990100004;969051577;0.62;;;
99990100004;969051605;;0.62;1.178;
99990100004;969055177;0.62;;;
99990100004;969055205;;0.62;1.178;
99990100004;969058777;0.62;;;
99990100004;969058805;;0.62;1.178;
99990100004;969062377;0.62;;;
99990100004;969062405;;0.62;1.178;
99990100004;969065977;0.62;;;
99990100004;969066005;;0.62;1.178;
99990100004;969069577;0.62;;;
99990100004;969069605;;0.62;1.178;
99990100004;969073177;0.62;;;
99990100004;969073205;;0.62;1.178;
99990100004;969076777;0.62;;;
99990100004;969076805;;0.62;1.178;
99990100004;969080377;0.62;;;
99990100004;969080405;;0.62;1.178;
99990100004;969083977;0.62;;;
99990100004;969084005;;0.62;1.178;
99990100004;969087577;0.62;;;
99990100004;969087605;;0.62;1.178;
99990100004;969091177;0.62;;;
99990100004;969091205;;0.62;1.178;
99990100004;969094777;0.62;;;
99990100004;969094805;;0.62;1.178;
99990100004;969098377;0.62;;;
99990100004;969098405;;0.62;1.178;
99990100004;969101977;0.62;;;
99990100004;969102005;;0.62;1.178;
99990100004;969105577;0.62;;;
99990100004;969105605;;0.62;1.178;
99990100004;969109177;0.62;;;
99990100004;969109205;;0.62;1.178;
99990100004;969112777;0.62;;;
99990100004;969112805;;0.62;1.178;
99990100004;969116377;0.62;;;
99990100004;969116405;;0.62;1.178;
99990100004;969119977;0.62;;;
99990100004;969120005;;0.62;1.178;
99990100004;969123577;0.62;;;
99990100004;969123605;;0.62;1.178;
99990100004;969127177;0.62;;;
99990100004;969127205;;0.62;1.178;
99990100004;969130777;0.62;;;
99990100004;969130805;;0.62;1.178;
99990100004;969134377;0.62;;;
99990100004;969134405;;0.62;1.178;
99990100004;969137977;0.62;;;
99990100004;969138005;;0.62;1.178;
99990100004;969141577;0.62;;;
99990100004;969141605;;0.62;1.178;
99990100004;969145177;0.62;;;
99990100004;969145205;;0.62;1.178;
99990100004;969148777;0.62;;;
99990100004;969148805;;0.62;1.178;
99990100004;969152377;0.62;;;
99990100004;969152405;;0.62;1.178;
99990100004;969155977;0.62;;;
99990100004;969156005;;0.62;1.178;
99990100004;969159577;0.62;;;
99990100004;969159605;;0.62;1.178;
99990100004;969163177;0.62;;;
99990100004;969163205;;0.62;1.178;
99990100004;969166777;0.62;;;
99990100004;969166805;;0.62;1.178;
99990100004;969170377;0.62;;;
99990100004;969170405;;0.62;1.178;
99990100004;969173977;0.62;;;
99990100004;969174005;;0.62;1.178;
99990100004;969177577;0.62;;;
99990100004;969177605;;0.62;1.178;
99990100004;969181177;0.62;;;
99990100004;969181205;;0.62;1.178;
99990100004;969184777;0.62;;;
99990100004;969184805;;0.62;1.178;
99990100004;969188377;0.62;;;
99990100004;969188405;;0.62;1.178;
99990100004;969191977;0.62;;;
99990100004;969192005;;0.62;1.178;
99990100004;969195577;0.62;;;
99990100004;969195605;;0.62;1.178;
99990100004;969199177;0.62;;;
99990100004;969199205;;0.62;1.178;
99990100004;969202777;0.62;;;
99990100004;969202805;;0.62;1.178;
99990100004;969206377;0.62;;;
99990100004;969206405;;0.62;1.178;
99990100004;969209977;0.62;;;
99990100004;969210005;;0.62;1.178;
99990100004;969213577;0.62;;;
99990100004;969213605;;0.62;1.178;
99990100004;969217177;0.62;;;
99990100004;969217205;;0.62;1.178;
99990100004;969220777;0.62;;;
99990100004;969220805;;0.62;1.178;
99990100004;969224377;0.62;;;
99990100004;969224405;;0.62;1.178;
99990100004;969227977;0.62;;;
99990100004;969228005;;0.62;1.178;
99990100004;969231577;0.62;;;
99990100004;969231605;;0.62;1.178;
99990100004;969235177;0.62;;;
99990100004;969235205;;0.62;1.178;
99990100004;969238777;0.62;;;
99990100004;969238805;;0.62;1.178;
99990100004;969242377;0.62;;;
99990100004;969242405;;0.62;1.178;
99990100004;969245977;0.62;;;
99990100004;969246005;;0.62;1.178;
99990100004;969249577;0.62;;;
99990100004;969249605;;0.62;1.178;
99990100004;969253177;0.62;;;
99990100004;969253205;;0.62;1.178;
99990100004;969256777;0.62;;;
99990100004;969256805;;0.62;1.178;
99990100004;969260377;0.62;;;
99990100004;969260405;;0.62;1.178;
99990100004;969263977;0.62;;;
99990100004;969264005;;0.62;1.178;
99990100004;969267577;0.62;;;
99990100004;969267605;;0.62;1.178;
99990100004;969271177;0.62;;;
99990100004;969271205;;0.62;1.178;
99990100004;969274777;0.62;;;
99990100004;969274805;;0.62;1.178;
99990100004;969278377;0.62;;;
99990100004;969278405;;0.62;1.178;
99990100004;969281977;0.62;;;
99990100004;969282005;;0.62;1.178;
99990100004;969285577;0.62;;;
99990100004;969285605;;0.62;1.178;
99990100004;969289177;0.62;;;
99990100004;969289205;;0.62;1.178;
99990100004;969292777;0.62;;;
99990100004;969292805;;0.62;1.178;
99990100004;969296377;0.62;;;
99990100004;969296405;;0.62;1.178;
99990100004;969299977;0.62;;;
99990100004;969300005;;0.62;1.178;
99990100004;969303577;0.62;;;
99990100004;969303605;;0.62;1.178;
99990100004;969307177;0.62;;;
99990100004;969307205;;0.62;1.178;
99990100004;969310777;0.62;;;
99990100004;969310805;;0.62;1.178;
99990100004;969314377;0.62;;;
99990100004;969314405;;0.62;1.178;
99990100004;969317977;0.62;;;
99990100004;969318005;;0.62;1.178;
99990100004;969321577;0.62;;;
99990100004;969321605;;0.62;1.178;
99990100004;969325177;0.62;;;
99990100004;969325205;;0.62;1.178;
99990100004;969328777;0.62;;;
99990100004;969328805;;0.62;1.178;
99990100004;969332377;0.62;;;
99990100004;969332405;;0.62;1.178;
99990100004;969335977;0.62;;;
99990100004;969336005;;0.62;1.178;
99990100004;969339577;0.62;;;
99990100004;969339605;;0.62;1.178;
99990100004;969343177;0.62;;;
99990100004;969343205;;0.62;1.178;
99990100004;969346777;0.62;;;
99990100004;969346805;;0.62;1.178;
99990100004;969350377;0.62;;;
99990100004;969350405;;0.62;1.178;
99990100004;969353977;0.62;;;
99990100004;969354005;;0.62;1.178;
99990100004;969357577;0.62;;;
99990100004;969357605;;0.62;1.178;
99990100004;969361177;0.62;;;
99990100004;969361205;;0.62;1.178;
99990100004;969364777;0.62;;;
99990100004;969364805;;0.62;1.178;
99990100004;969368377;0.62;;;
99990100004;969368405;;0.62;1.178;
99990100004;969371977;0.62;;;
99990100004;969372005;;0.62;1.178;
99990100004;969375577;0.62;;;
99990100004;969375605;;0.62;1.178;
99990100004;969379177;0.62;;;
99990100004;969379205;;0.62;1.178;
99990100004;969382777;0.62;;;
99990100004;969382805;;0.62;1.178;
99990100004;969386377;0.62;;;
99990100004;969386405;;0.62;1.178;
99990100004;969389977;0.62;;;
99990100004;969390005;;0.62;1.178;
99990100004;969393577;0.62;;;
99990100004;969393605;;0.62;1.178;
99990100004;969397177;0.62;;;
99990100004;969397205;;0.62;1.178;
99990100004;969400777;0.62;;;
99990100004;969400805;;0.62;1.178;
99990100004;969404377;0.62;;;
99990100004;969404405;;0.62;1.178;
99990100004;969407977;0.62;;;
99990100004;969408005;;0.62;1.178;
99990100004;969411577;0.62;;;
99990100004;969411605;;0.62;1.178;
99990100004;969415177;0.62;;;
99990100004;969415205;;0.62;1.178;
99990100004;969418777;0.62;;;
99990100004;969418805;;0.62;1.178;
99990100004;969422377;0.62;;;
99990100004;969422405;;0.62;1.178;
99990100004;969425977;0.62;;;
99990100004;969426005;;0.62;1.178;
99990100004;969429577;0.62;;;
99990100004;969429605;;0.62;1.178;
99990100004;969433177;0.62;;;
99990100004;969433205;;0.62;1.178;
99990100004;969436777;0.62;;;
99990100004;969436805;;0.62;1.178;
99990100004;969440377;0.62;;;
99990100004;969440405;;0.62;1.178;
99990100004;969443977;0.62;;;
99990100004;969444005;;0.62;1.178;
99990100004;969447577;0.62;;;
99990100004;969447605;;0.62;1.178;
99990100004;969451177;0.62;;;
99990100004;969451205;;0.62;1.178;
99990100004;969454777;0.62;;;
99990100004;969454805;;0.62;1.178;
99990100004;969458377;0.62;;;
99990100004;969458405;;0.62;1.178;
99990100004;969461977;0.62;;;
99990100004;969462005;;0.62;1.178;
99990100004;969465577;0.62;;;
99990100004;969465605;;0.62;1.178;
99990100004;969469177;0.62;;;
99990100004;969469205;;0.62;1.178;
99990100004;969472777;0.62;;;
99990100004;969472805;;0.62;1.178;
99990100004;969476377;0.62;;;
99990100004;969476405;;0.62;1.178;
99990100004;969479977;0.62;;;
99990100004;969480005;;0.62;1.178;
99990100004;969483577;0.62;;;
99990100004;969483605;;0.62;1.178;
99990100004;969487177;0.62;;;
99990100004;969487205;;0.62;1.178;
99990100004;969490777;0.62;;;
99990100004;969490805;;0.62;1.178;
99990100004;969494377;0.62;;;
99990100004;969494405;;0.62;1.178;
99990100004;969497977;0.62;;;
99990100004;969498005;;0.62;1.178;
99990100004;969501577;0.62;;;
99990100004;969501605;;0.62;1.178;
99990100004;969505177;0.62;;;
99990100004;969505205;;0.62;1.178;
99990100004;969508777;0.62;;;
99990100004;969508805;;0.62;1.178;
99990100004;969512377;0.62;;;
99990100004;969512405;;0.62;1.178;
99990100004;969515977;0.62;;;
99990100004;969516005;;0.62;1.178;
99990100004;969519577;0.62;;;
99990100004;969519605;;0.62;1.178;
99990100004;969523177;0.62;;;
99990100004;969523205;;0.62;1.178;
99990100004;969526777;0.62;;;
99990100004;969526805;;0.62;1.178;
99990100004;969530377;0.62;;;
99990100004;969530405;;0.62;1.178;
99990100004;969533977;0.62;;;
99990100004;969534005;;0.62;1.178;
99990100004;969537577;0.62;;;
99990100004;969537605;;0.62;1.178;
99990100004;969541177;0.62;;;
99990100004;969541205;;0.62;1.178;
99990100004;969544777;0.62;;;
99990100004;969544805;;0.62;1.178;
99990100004;969548377;0.62;;;
99990100004;969548405;;0.62;1.178;
99990100004;969551977;0.62;;;
99990100004;969552005;;0.62;1.178;
99990100004;969555577;0.62;;;
99990100004;969555605;;0.62;1.178;
99990100004;969559177;0.62;;;
99990100004;969559205;;0.62;1.178;
99990100004;969562777;0.62;;;
99990100004;969562805;;0.62;1.178;
99990100004;969566377;0.62;;;
99990100004;969566405;;0.62;1.178;
99990100004;969569977;0.62;;;
99990100004;969570005;;0.62;1.178;
99990100004;969573577;0.62;;;
99990100004;969573605;;0.62;1.178;
99990100004;969577177;0.62;;;
99990100004;969577205;;0.62;1.178;
99990100004;969580777;0.62;;;
99990100004;969580805;;0.62;1.178;
99990100004;969584377;0.62;;;
99990100004;969584405;;0.62;1.178;
99990100004;969587977;0.62;;;
99990100004;969588005;;0.62;1.178;
99990100004;969591577;0.62;;;
99990100004;969591605;;0.62;1.178;
99990100004;969595177;0.62;;;
99990100004;969595205;;0.62;1.178;
99990100004;969598777;0.62;;;
99990100004;969598805;;0.62;1.178;
99990100004;969602377;0.62;;;
99990100004;969602405;;0.62;1.178;
99990100004;969605977;0.62;;;
99990100004;969606005;;0.62;1.178;
99990100004;969609577;0.62;;;
99990100004;969609605;;0.62;1.178;
99990100004;969613177;0.62;;;
99990100004;969613205;;0.62;1.178;
99990100004;969616777;0.62;;;
99990100004;969616805;;0.62;1.178;
99990100004;969620377;0.62;;;
99990100004;969620405;;0.62;1.178;
99990100004;969623977;0.62;;;
99990100004;969624005;;0.62;1.178;
99990100004;969627577;0.62;;;
99990100004;969627605;;0.62;1.178;
99990100004;969631177;0.62;;;
99990100004;969631205;;0.62;1.178;
99990100004;969634777;0.62;;;
99990100004;969634805;;0.62;1.178;
99990100004;969638377;0.62;;;
99990100004;969638405;;0.62;1.178;
99990100004;969641977;0.62;;;
99990100004;969642005;;0.62;1.178;
99990100004;969645577;0.62;;;
99990100004;969645605;;0.62;1.178;
99990100004;969649177;0.62;;;
