AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
2;971301599;1620.0531385718384;;;
2;971301604;;1617.2211385718383;0.0;
2;971305199;1602.40291913132;;;
2;971305204;;1599.57091913132;0.0;
2;971308799;1651.0277538370694;;;
2;971308804;;1648.1957538370693;0.0;
2;971312399;1638.5663525562143;;;
2;971312404;;1635.7343525562142;0.0;
2;971315999;1561.4232935050086;;;
2;971316004;;1558.5912935050085;0.0;
2;971319599;1655.7336375859938;;;
2;971319604;;1652.9016375859937;0.0;
2;971323199;1839.5266461716622;;;
2;971323204;;1836.694646171662;0.0;
2;971326799;1820.7475107578866;;;
2;971326804;;1817.3741816890022;0.0;
2;971330399;1810.3097416248418;;;
2;971330404;;1727.9125260561677;0.0;
2;971333999;1830.8958149184846;;;
2;971334004;;1649.8870853420397;0.0;
2;971337599;2046.5099044877263;;;
2;971337604;;1700.420142463949;0.0;
2;971341199;2172.3464071688145;;;
2;971341204;;1701.404296895962;0.0;
2;971344799;2266.909126088204;;;
2;971344804;;1691.571156384875;0.0;
2;971348399;2367.2344208157056;;;
2;971348404;;1758.5095316617048;0.0;
2;971351999;2404.1037584266946;;;
2;971352004;;1834.338060026777;0.0;
2;971355599;2270.3866317174748;;;
2;971355604;;1768.922270818327;0.0;
2;971359199;1974.1024535579363;;;
2;971359204;;1621.5693047341715;0.0;
2;971362799;1884.065603811361;;;
2;971362804;;1726.5994034400246;0.0;
2;971366399;1858.5173128399263;;;
2;971366404;;1852.8365015632548;0.0;
2;971369999;2054.4199037942317;;;
2;971370004;;2051.587903794232;0.0;
2;971373599;2322.0542050627832;;;
2;971373604;;2319.2222050627834;0.0;
2;971377199;2627.7443808961843;;;
2;971377204;;2624.9123808961845;0.0;
2;971380799;2888.8857657638628;;;
2;971380804;;2886.053765763863;0.0;
2;971384399;2983.6463987682637;;;
2;971384404;;2980.814398768264;0.0;
2;971387999;2844.08505162687;;;
2;971388004;;2841.2530516268703;0.0;
2;971391599;2630.273843557064;;;
2;971391604;;2627.441843557064;0.0;
2;971395199;2617.0234112878397;;;
2;971395204;;2614.19141128784;0.0;
2;971398799;2361.4232647128406;;;
2;971398804;;2358.5912647128407;0.0;
2;971402399;2205.7584339113155;;;
2;971402404;;2202.9264339113156;0.0;
2;971405999;2169.1092861470775;;;
2;971406004;;2166.2772861470776;0.0;
