AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
20132800050;969303606;;;;4680000.0
20132800050;969307198;1560.0;;;
20132800050;969307205;;1560.0;84198.3742410909;
20132800050;969307206;;;;4680000.0
20132800050;969310798;1560.0;;;
20132800050;969310805;;1560.0;84198.3742410909;
20132800050;969310806;;;;4680000.0
20132800050;969314398;1560.0;;;
20132800050;969314405;;1560.0;84198.3742410909;
20132800050;969314406;;;;4680000.0
20132800050;969317998;1560.0;;;
20132800050;969318005;;532.0062020656278;28714.139294937922;
20132800050;969318006;;;;30044.15480010199
20132800050;969321598;1560.0;;;
20132800050;969321605;;13.911147485572654;750.8307705854212;
20132800050;969321606;;;;785.6086392993528
20132800050;969325198;1560.0;;;
20132800050;969325205;;0.0;0.0;
20132800050;969325206;;;;0.0
20132800050;969328798;1560.0;;;
20132800050;969328805;;1304.6668785369257;70417.19878141535;
20132800050;969328806;;;;73678.86597775767
20132800050;969332398;1560.0;;;
20132800050;969332405;;0.0;0.0;
20132800050;969332406;;;;0.0
20132800050;969335998;1560.0;;;
20132800050;969336005;;1560.0;84198.3742410909;
20132800050;969336006;;;;4680000.0
20132800050;969339598;1560.0;;;
20132800050;969339605;;1560.0;84198.3742410909;
20132800050;969339606;;;;4680000.0
20132800050;969343198;1560.0;;;
20132800050;969343205;;1440.2252394154366;77733.73314087544;
20132800050;969343206;;;;81334.29623941402
20132800050;969346798;1560.0;;;
20132800050;969346805;;0.0;0.0;
20132800050;969346806;;;;0.0
20132800050;969350398;1560.0;;;
20132800050;969350405;;260.2378015265476;14045.897310648073;
20132800050;969350406;;;;14696.491814464442
20132800050;969353998;1560.0;;;
20132800050;969354005;;0.0;0.0;
20132800050;969354006;;;;0.0
20132800050;969357598;1560.0;;;
20132800050;969357605;;0.0;0.0;
20132800050;969357606;;;;0.0
20132800050;969361198;1560.0;;;
20132800050;969361205;;0.0;0.0;
20132800050;969361206;;;;0.0
20132800050;969364798;1560.0;;;
20132800050;969364805;;0.0;0.0;
20132800050;969364806;;;;0.0
20132800050;969368398;1560.0;;;
20132800050;969368405;;0.0;0.0;
20132800050;969368406;;;;0.0
20132800050;969371998;1560.0;;;
20132800050;969372005;;0.0;0.0;
20132800050;969372006;;;;0.0
20132800050;969375598;1560.0;;;
20132800050;969375605;;1560.0;84198.3742410909;
20132800050;969375606;;;;4680000.0
20132800050;969379198;1560.0;;;
20132800050;969379205;;1560.0;84198.3742410909;
20132800050;969379206;;;;4680000.0
20132800050;969382798;1560.0;;;
20132800050;969382805;;1560.0;84198.3742410909;
