AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;EnergyImbalaceInMWH;ReceivedMarketRevenues
12;599727601;;6106.000000081;0.0;
12;599731199;6840.930879113999;;;
12;599731201;;6713.199999619999;0.0;
12;599734799;6963.356234986;;;
12;599734801;;6782.599999013999;0.0;
12;599738399;7043.032082868;;;
12;599738401;;6860.999998486001;0.0;
12;599741999;6983.612774952;;;
12;599742001;;6821.800001342999;0.0;
12;599745599;6557.455570276;;;
12;599745601;;6422.200001317;0.0;
12;599749199;6483.288835182;;;
12;599749201;;6310.000000376998;0.0;
12;599752799;6512.886293072001;;;
12;599752801;;6370.599999847;0.0;
12;599756399;6717.6396196059995;;;
12;599756401;;6594.600001038001;0.0;
12;599759999;7001.142077525999;;;
12;599760001;;6862.200000692999;0.0;
12;599763599;6934.037957532;;;
12;599763601;;6778.999999709;0.0;
12;599767199;6838.297282702;;;
12;599767201;;6688.800001098999;0.0;
12;599770799;6741.452307424;;;
12;599770801;;6590.800000745;0.0;
12;599774399;6460.450619345999;;;
12;599774401;;6292.999999595;0.0;
12;599777999;6306.44435891;;;
12;599778001;;5980.99999883;0.0;
12;599781599;6194.688540863999;;;
12;599781601;;5552.000000975001;0.0;
12;599785199;6044.179608598;;;
12;599785201;;4425.9999996999995;0.0;
12;599788799;5900.159728568;;;
12;599788801;;4082.9999999499996;0.0;
12;599792399;5805.899469132;;;
12;599792401;;4408.111111821111;0.0;
12;599795999;5878.6596630839995;;;
12;599796001;;5741.555556645557;0.0;
12;599799599;5786.406975255999;;;
12;599799601;;5640.666668131666;0.0;
12;599803199;5799.4031072239995;;;
12;599803201;;5612.444443124445;0.0;
12;599806799;5892.151288178;;;
12;599806801;;5744.222223422223;0.0;
12;599810399;6278.930673832;;;
12;599810401;;6114.444445369444;0.0;
12;599813999;6801.78753114;;;
12;599814001;;6674.399998754;0.0;
12;599817599;6956.562344470001;;;
12;599817601;;6809.199998359999;0.0;
12;599821199;6824.234103008;;;
12;599821201;;6701.200001127001;0.0;
12;599824799;6810.585814636;;;
12;599824801;;6664.600000123;0.0;
12;599828399;6785.999313306001;;;
12;599828401;;6654.800000297;0.0;
12;599831999;6771.260400868;;;
12;599832001;;6638.199999042;0.0;
12;599835599;6769.856351170001;;;
12;599835601;;6645.399999234;0.0;
12;599839199;6779.934723466;;;
12;599839201;;6612.800000448999;0.0;
12;599842799;6707.835789942;;;
12;599842801;;6554.199999101;0.0;
12;599846399;6922.085756384;;;
12;599846401;;6773.600000902999;0.0;
12;599849999;7342.611544636;;;
12;599850001;;7184.5999995990005;0.0;
12;599853599;7230.114740338;;;
12;599853601;;6798.000000669001;0.0;
12;599857199;6915.759817046;;;
12;599857201;;6110.99999852;0.0;
12;599860799;6482.733676579999;;;
12;599860801;;5640.000001505001;0.0;
12;599864399;6223.2040449880005;;;
12;599864401;;5509.999999555001;0.0;
12;599867999;6072.436737816;;;
12;599868001;;5662.444445584444;0.0;
12;599871599;5913.174167458;;;
12;599871601;;5743.666666506666;0.0;
12;599875199;5911.925986504;;;
12;599875201;;5782.222222557221;0.0;
12;599878799;5918.429412146001;;;
12;599878801;;5768.666667746666;0.0;
12;599882399;5966.935738066;;;
12;599882401;;5798.222222942222;0.0;
12;599885999;6039.696735316;;;
12;599886001;;5854.3333324333325;0.0;
12;599889599;6211.707929018001;;;
12;599889601;;6023.111111536111;0.0;
12;599893199;6287.714746814001;;;
12;599893201;;6138.444444824443;0.0;
12;599896799;6744.988183454001;;;
12;599896801;;6617.111112446111;0.0;
12;599900399;7271.626917825999;;;
12;599900401;;7137.99999818;0.0;
12;599903999;7442.400354433999;;;
12;599904001;;7274.999998845;0.0;
12;599907599;7409.910532489999;;;
12;599907601;;7257.800000288001;0.0;
12;599911199;7305.248960671999;;;
12;599911201;;7159.200000381001;0.0;
12;599914799;7051.1552806380005;;;
12;599914801;;6909.400000535;0.0;
12;599918399;7075.9042401980005;;;
12;599918401;;6949.799999854;0.0;
12;599921999;7074.57288448;;;
12;599922001;;6905.000000358999;0.0;
12;599925599;7146.812591486;;;
12;599925601;;6966.199999696;0.0;
12;599929199;6958.878720876;;;
12;599929201;;6832.800000976;0.0;
12;599932799;7129.133112778;;;
12;599932801;;6957.000000995;0.0;
12;599936399;7341.891045259999;;;
12;599936401;;7216.800000974;0.0;
12;599939999;7732.156549384001;;;
12;599940001;;7549.000000124;0.0;
12;599943599;7588.81163959;;;
12;599943601;;7406.777777072777;0.0;
12;599947199;7344.8008882780005;;;
12;599947201;;7159.333333533332;0.0;
12;599950799;7240.539579606;;;
12;599950801;;7116.444443389444;0.0;
12;599954399;7337.542070981999;;;
12;599954401;;7170.444443799444;0.0;
12;599957999;6740.749623094;;;
12;599958001;;6573.333333593334;0.0;
12;599961599;6564.223613595999;;;
12;599961601;;6398.222223642222;0.0;
12;599965199;6340.7087978;;;
12;599965201;;6169.222221377224;0.0;
12;599968799;6384.456306423999;;;
12;599968801;;6243.777778977778;0.0;
12;599972399;6286.703176206;;;
12;599972401;;6130.444443254444;0.0;
12;599975999;6374.699865534;;;
