AgentId;TimeStep;OfferedPowerInMW;AwardedPowerInMWH;CostsInEUR;ReceivedMoneyInEUR
10;599356777;0.0;;;
10;599356802;;0.0;0.0;
10;599360377;0.0;;;
10;599360402;;0.0;0.0;
10;599363977;0.0;;;
10;599364002;;0.0;0.0;
10;599367577;0.0;;;
10;599367602;;0.0;0.0;
10;599371177;0.0;;;
10;599371202;;0.0;0.0;
10;599374777;0.0;;;
10;599374802;;0.0;0.0;
10;599378377;0.0;;;
10;599378402;;0.0;0.0;
10;599381977;7.000000273;;;
10;599382002;;11.000000429;0.0;
10;599385577;17.999999509000002;;;
10;599385602;;29.99999997699979;0.0;
10;599389177;34.000000133;;;
10;599389202;;62.000000031999996;0.0;
10;599392777;56.999999837000004;;;
10;599392802;;98.000000243;0.0;
10;599396377;81.999999619;;;
10;599396402;;139.99999949499988;0.0;
10;599399977;92.00000000899999;;;
10;599400002;;151.99999996299994;0.0;
10;599403577;85.999999775;;;
10;599403602;;134.000000454;0.0;
10;599407177;64.00000011;;;
10;599407202;;85.999999775;0.0;
10;599410777;32.000000055;;;
10;599410802;;38.000000289;0.0;
10;599414377;10.000000389999999;;;
10;599414402;;12.000000468000001;0.0;
10;599417977;4.0000001560000005;;;
10;599418002;;4.0000001560000005;0.0;
10;599421577;4.0000001560000005;;;
10;599421602;;4.0000001560000005;0.0;
10;599425177;0.0;;;
10;599425202;;0.0;0.0;
10;599428777;0.0;;;
10;599428802;;0.0;0.0;
10;599432377;0.0;;;
10;599432402;;0.0;0.0;
10;599435977;0.0;;;
10;599436002;;0.0;0.0;
10;599439577;0.0;;;
10;599439602;;0.0;0.0;
10;599443177;0.0;;;
10;599443202;;0.0;0.0;
10;599446777;0.0;;;
10;599446802;;0.0;0.0;
10;599450377;0.0;;;
10;599450402;;0.0;0.0;
10;599453977;0.0;;;
10;599454002;;0.0;0.0;
10;599457577;0.0;;;
10;599457602;;0.0;0.0;
10;599461177;0.0;;;
10;599461202;;0.0;0.0;
10;599464777;0.0;;;
10;599464802;;0.0;0.0;
10;599468377;11.000000429;;;
10;599468402;;8.000000311999884;0.0;
10;599471977;27.999999899;;;
10;599472002;;22.999999703999947;0.0;
10;599475577;59.999999953999996;;;
10;599475602;;44.000000522999926;0.0;
10;599479177;106.000000555;;;
10;599479202;;69.00000030499996;0.0;
10;599482777;173.999999628;;;
10;599482802;;97.00000020399989;0.0;
10;599486377;209.999999839;;;
10;599486402;;102.000000399;0.0;
10;599489977;207.999999761;;;
10;599490002;;85.999999775;0.0;
10;599493577;149.999999885;;;
10;599493602;;53.99999972;0.0;
10;599497177;76.000000578;;;
10;599497202;;23.99999974299999;0.0;
10;599500777;23.999999743;;;
10;599500802;;8.000000311999997;0.0;
10;599504377;6.000000234000001;;;
10;599504402;;4.0000001560000005;0.0;
10;599507977;4.0000001560000005;;;
10;599508002;;4.0000001560000005;0.0;
10;599511577;0.0;;;
10;599511602;;0.0;0.0;
10;599515177;0.0;;;
10;599515202;;0.0;0.0;
10;599518777;0.0;;;
10;599518802;;0.0;0.0;
10;599522377;0.0;;;
10;599522402;;0.0;0.0;
10;599525977;0.0;;;
10;599526002;;0.0;0.0;
10;599529577;0.0;;;
10;599529602;;0.0;0.0;
10;599533177;0.0;;;
10;599533202;;0.0;0.0;
10;599536777;0.0;;;
10;599536802;;0.0;0.0;
10;599540377;0.0;;;
10;599540402;;0.0;0.0;
10;599543977;0.0;;;
10;599544002;;0.0;0.0;
10;599547577;0.0;;;
10;599547602;;0.0;0.0;
10;599551177;0.0;;;
10;599551202;;0.0;0.0;
10;599554777;6.000000234000001;;;
10;599554802;;7.000000272999841;0.0;
10;599558377;13.000000507;;;
10;599558402;;15.000000585;0.0;
10;599561977;25.999999821;;;
10;599562002;;24.999999782;0.0;
10;599565577;49.999999564;;;
10;599565602;;36.000000211;0.0;
10;599569177;76.000000578;;;
